X,Y,OBJECTID,id,FileName,Site,Owner,Point_num,Species,num_Indivi,Other,PhotoN,PhotoE,PhotoS,PhotoW,LifeStage,Habitat,PointNotes,photo,Treatment_
-71.760823503,41.6092587580001,24,24,JV_06_08_P,"Falls River, Arcadia",DEM,387,ELUM,0, , , , , ,A,RX,Side of closed road, , 
-71.7590270919999,41.607564687,25,25,JV_06_08_P,"Falls River, Arcadia",DEM,388,BETH,1, , , , , ,A,TX,Side of trail, , 
-71.6846473159999,41.555327149,26,26,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,390,BEVU,1, , , , , ,M,RX,Side of road next to LOMO2, , 
-71.6846653219999,41.5552950050001,27,27,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,0,LOMO2,1, , , , , ,M,RX,Side of road next to BEVU, , 
-71.684824845,41.5545736190001,28,28,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,393,ELUM,2, , , , , ,M,RX,2 individuals, , 
-71.685112846,41.554784259,29,29,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,395,BETH,2, , , , , ,S,RX,"2 seedlings, hand pulled", , 
-71.6850848459999,41.554808569,30,30,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,396,LOMO2,1, , , , , ,MF,X,individual in tree, , 
-71.6851436059999,41.5547891190001,31,31,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,397,ELUM,2, , , , , ,S,XR,2 individuals, , 
-71.685334215,41.5549885290001,32,32,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,400,LOMA6,2, , , , , ,MF,RX,2 individuals on edge of driveway area, , 
-71.6852892859999,41.555109219,33,33,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,401,BETH,1, , , , , ,A,X,Single, , 
-71.685294816,41.5551123290001,34,34,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,402,EUAL13,1, , , , , ,S,X,Single, , 
-71.685299766,41.555112239,35,35,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,403,BETH,1, , , , , ,S,X,Single, , 
-71.685698906,41.5548997590001,36,36,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,405,ELUM,1, , , , , ,M,RX,Single on edge, , 
-71.6855959759999,41.5547741990001,37,37,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,406,LOMO2,3, , , , , ,MR,RX,on edge, , 
-71.685620876,41.554436659,38,38,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,408,LOMA6,1, , , , , ,MR,RX,Large individual, , 
-71.6856757749999,41.5542620690001,39,39,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,409,LOMO2,3, , , , , ,MR,Rx,<3 individuals, , 
-71.685790775,41.5542691090001,40,40,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,410,LOMO2,5,PHOTO, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_410_S.jpg, ,MR,X,"5 individuals, photo of unknown, possibly sumac",y, 
-71.685772416,41.554349659,41,41,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,411,BETH,1, , , , , ,A,X,Single in forest, , 
-71.6854755259999,41.5559291390001,42,42,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,412,EUAL13,1, , , , , ,A,X,Single, , 
-71.6862256269999,41.5543633990001,43,43,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,413,BETH,1, , , , , ,M,X,Large individual, , 
-71.686380356,41.5543992790001,44,44,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,414,CEOR7,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_414_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_414_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_414_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_414_W.jpg, , , ,y, 
-71.686412707,41.5543959190001,45,45,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,415,BETH,1, , , , , ,A,XC,Single, , 
-71.686484547,41.554242119,46,46,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,416,EUAL13,1, , , , , ,A,XC,Single, , 
-71.686767687,41.5542472290001,47,47,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,417,BETH,1, , , , , ,A,XC,Single, , 
-71.686783527,41.5542769890001,48,48,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,418,BETH,0, , , , , ,SA,XC,<10 individuals in 20', , 
-71.686780507,41.554280589,49,49,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,419,EUAL13,1, , , , , ,A,C,Single, , 
-71.686514716,41.5546239990001,50,50,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,425,BETH,2, , , , , ,A,X,2 individuals within 20', , 
-71.686300816,41.5546503190001,51,51,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,426,BETH,1, , , , , ,A,X,Single, , 
-71.686130237,41.5547385790001,52,52,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,431,BETH,1, , , , , ,A,X,Single, , 
-71.685843746,41.556077079,53,53,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,435,ROMU,1, , , , , ,A,TXI,Single trailside, , 
-71.685978776,41.5561687800001,54,54,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,436,CEOR7,2, , , , , ,S,TXI,A few seedlings around stone pit, , 
-71.692935758,41.556875539,55,55,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,437,LOMO2,0, , , , , ,SA,MR,<10 individuals in abandoned concrete basins, , 
-71.692903579,41.556895239,56,56,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,439,CYLO11,2, , , , , ,MF,MR,2 in abandoned concrete basin, , 
-71.6931118689999,41.556824749,57,57,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,440,CYLO11,10, , , , , ,SMF,MR,10 in abandoned stone basin, , 
-71.693155449,41.5569059690001,58,58,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,441,BETH,1, , , , , ,M,MR,Large individual on edge of basin, , 
-71.693210348,41.556806389,59,59,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,443,BETH,1, , , , , ,MF,XF,Large individual, , 
-71.6933428689999,41.557084339,60,60,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,448,CYLO11,0, , , , , ,MF,MF,"On edge of walkway, both sides", , 
-71.693985509,41.556897339,61,61,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,450,ROMU,5, , , , , ,MF,FW,At corner of basin, , 
-71.693918459,41.556980739,62,62,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,451,PHAU7,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_06_09_451_W.jpg,S,FW,Dense population in pond,y, 
-71.694503599,41.556844029,63,63,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,453,ROMU,0, , , , , ,MF,FW,<10 individuals on edge of PHAU7 population, , 
-71.695111029,41.5572492090001,64,64,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,456,PHAU7,5, , , , , ,A,FW,Small population of <5, , 
-71.6956366599999,41.5568580190001,65,65,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,457,ROMU,5, , , , , ,MF,IFW,On edge of pond, , 
-71.695385369,41.5565201490001,66,66,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,458,LOMO2,0, , , , , ,M,FW,<10 in fish basin, , 
-71.6956908889999,41.556387719,67,67,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,461,BETH,0, , , , , ,S,FM,<5 seedlings, , 
-71.695717969,41.556335249,68,68,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,462,BETH,5, , , , , ,AM,FM,5 individuals, , 
-71.6957220799999,41.556265839,69,69,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,463,ELUM,2, , , , , ,MA,RX,2 individuals on roadside, , 
-71.695936989,41.5560002190001,70,70,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,464,BETH,1, , , , , ,M,MX,On fence of private property, , 
-71.6958795689999,41.556027709,71,71,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,465,CEOR7,20, , , , , ,SA,MX,On fence of private property, , 
-71.695884099,41.5560261190001,72,72,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,466,ROMU,5, , , , , ,MF,MX,On fence of private property, , 
-71.69632096,41.556146649,73,73,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,467,BETH,1, , , , , ,M,MX,Next to tree, , 
-71.696525559,41.556184289,74,74,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,468,BETH,2, , , , , ,M,TR,2 large individuals planted on trail outlet to road, , 
-71.6963872589999,41.5562984490001,75,75,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,470,ROMU,1, , , , , ,MF,TM,On edge, , 
-71.69634812,41.5563034790001,76,76,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,471,LIVU,0, , , , , ,MF,TM,On edge, , 
-71.696278799,41.5562743090001,77,77,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,472,LOMO2,1, , , , , ,S,RM,"Next to rock, in parking area", , 
-71.6964316,41.556629279,78,78,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,474,BETH,5, , , , , ,AM,TWD,5 individuals in hedge area, , 
-71.69635952,41.5566545090001,79,79,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,475,BETH,1, , , , , ,A,TID,In hedge area, , 
-71.696360779,41.556668169,80,80,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,476,BETH,1, , , , , ,M,TID,In hedge area, , 
-71.6959793199999,41.557099759,81,81,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,480,BETH,3, , , , , ,S,WF,3 individuals on edge of pond, , 
-71.69596423,41.5571202890001,82,82,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,481,ROMU,0, , , , , ,MF,WF,<10 individuals on edge of pond, , 
-71.6962778,41.557396559,83,83,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,483,ROMU,1, , , , , ,M,MF,Large of edge of basin, , 
-71.6943547389999,41.5580344190001,84,84,JV_06_09_P,"Browning Mill Pond, Arcadia",DEM,486,BETH,2, , , , , ,AM,IX,2 individuals on river side, , 
-71.7285009779999,41.5890214680001,85,1,GL_05_25_P,"Arcadia, Farm Rd and Brook Rd",DEM,247,ELUM,0, , , , , ,M,TEM, , , 
-71.728812788,41.589486418,86,2,GL_05_25_P,"Arcadia, Farm Rd and Brook Rd",DEM,248,ELUM,0, , , , , ,S,M, , , 
-71.7287595569999,41.589592698,87,3,GL_05_25_P,"Arcadia, Farm Rd and Brook Rd",DEM,249,ELUM,0, , , , , ,S,MH, , , 
-71.725348377,41.585318176,88,4,GL_05_26_02_P,"Arcadia, Brook Trail and Thornley Trail",DEM,250,ELUM,0, , , , , ,M,M, , ,y
-71.7252931369999,41.5855322470001,89,5,GL_05_26_02_P,"Arcadia, Brook Trail and Thornley Trail",DEM,251,ELUM,0, , , , , ,A,MD,3 ind's, ,y
-71.725481897,41.5856305670001,90,6,GL_05_26_02_P,"Arcadia, Brook Trail and Thornley Trail",DEM,252,ELUM,0, , , , , ,MA,MD, , ,y
-71.711320413,41.6250780760001,91,7,GL_05_20_P,W. Alton Jones,URI,207, ,0,Before Treatment,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_207_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_207_E.jpg, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_207_W.jpg, , ,Treating BETH,y,y
-71.711440533,41.625973097,92,8,GL_05_20_P,W. Alton Jones,URI,208, ,0,Before Treatment, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_208_E.jpg, , , , ,Treating BETH,y,y
-71.711079443,41.625980977,93,9,GL_05_20_P,W. Alton Jones,URI,209, ,0,Before Treatment, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_209_S.jpg, , , ,Treating BETH,y,y
-71.710781633,41.6257342970001,94,10,GL_05_20_P,W. Alton Jones,URI,210, ,0,Before Treatment, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_210_W.jpg, , ,Treating BETH,y,y
-71.710604684,41.6253110070001,95,11,GL_05_20_P,W. Alton Jones,URI,211, ,0,Before Treatment,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_211_N.jpg, , , , , ,Treating BETH,y,y
-71.7065940319999,41.628577267,96,12,GL_05_20_P,W. Alton Jones,URI,212, ,0,Before Treatment, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_05_20_212_S.jpg, , , ,Treating BETH,y,y
-71.723859666,41.5757845950001,97,13,GL_05_17_P,"Arcadia, W of Flat River",DEM,170,ROMU,0, , , , , ,A,ME,2 ind's, , 
-71.7236315069999,41.575512684,98,14,GL_05_17_P,"Arcadia, W of Flat River",DEM,171,ELUM,0, , , , , ,MF,MD, , , 
-71.724771866,41.574105864,99,15,GL_05_18_P,"Arcadia, W of Flat River",DEM,173,ELUM,0, , , , , ,MF,M, , , 
-71.7235163459999,41.5767394640001,100,16,GL_05_18_P,"Arcadia, W of Flat River",DEM,178,ELUM,0, , , , , ,MF,DM, , , 
-71.723524136,41.5768060940001,101,17,GL_05_18_P,"Arcadia, W of Flat River",DEM,179,ROMU,0, , , , , ,M,DM, , , 
-71.723734016,41.5772289650001,102,18,GL_05_18_P,"Arcadia, W of Flat River",DEM,181,ELUM,0, , , , , ,MF,DM, , , 
-71.723719096,41.577317565,103,19,GL_05_18_P,"Arcadia, W of Flat River",DEM,182,CEOR7,0, , , , , ,S,DM, , , 
-71.7234304259999,41.5768788550001,104,20,GL_05_18_P,"Arcadia, W of Flat River",DEM,183,ROMU,0, , , , , ,M,DM, , , 
-71.723353647,41.5766460040001,105,21,GL_05_18_P,"Arcadia, W of Flat River",DEM,184,ELUM,0, , , , , ,MF,DM, , , 
-71.728155057,41.5765561540001,106,22,GL_05_18_P,"Arcadia, W of Flat River",DEM,191,ELUM,0, , , , , ,MF,XM, , , 
-71.724765416,41.593129778,107,23,GL_06_01_P,Arcadia Dog Park,DEM,256,ELUM,0, , , , , ,M,MX, , ,y
-71.725693377,41.590714528,108,24,GL_06_01_P,Arcadia Dog Park,DEM,261,ELUM,0, , , , , ,M,MX,2 mature individuals, ,y
-71.725284167,41.594528299,109,25,GL_06_01_P,Arcadia Dog Park,DEM,276,CEOR7,0, , , , , ,A,MX, , ,y
-71.7248338059999,41.5942972890001,110,26,GL_06_01_P,Arcadia Dog Park,DEM,254,ELUM,0,PHOTO, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_254_E.jpg, , ,MA,MX, ,y,y
-71.725797977,41.5912881090001,111,27,GL_06_01_P,Arcadia Dog Park,DEM,260, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_260_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_260_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_260_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_260_W.jpg, , ,photo includes multiple invasive spp (ELUM and LOMO2),y,y
-71.725305627,41.592305078,112,28,GL_06_01_P,Arcadia Dog Park,DEM,272,ELUM,0,PHOTO, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_01_272_S.jpg, , , ,photo taken from a polygon boundary,y,y
-71.779222026,41.648137068,113,29,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,282,LOMO2,0, , , , , ,M,RX, , ,y
-71.77827726,41.6481069430001,114,30,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,287, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_287_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_287_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_287_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_287_W.jpg, , , ,y,y
-71.77806452,41.648031673,115,31,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,288, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_288_W.jpg, , , ,y,y
-71.77817852,41.648625533,116,32,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,290, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_290_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_290_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_290_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_290_W.jpg, , , ,y,y
-71.77895711,41.6485715520001,117,33,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,292, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_292_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_292_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_292_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_292_W.jpg, , , ,y,y
-71.778996171,41.6485004730001,118,34,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,293, ,0,PHOTO, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_293_S.jpg, , , , ,y,y
-71.7789135309999,41.648340712,119,35,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,294,EUAL13,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_294_W.jpg,MF,EX, ,y,y
-71.77901151,41.6481976320001,120,36,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,295, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_295_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_295_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_295_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_04_295_W.jpg, , , ,y,y
-71.77894085,41.648515483,121,37,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,296,BEVU,0, , , , , ,MF,X, , ,y
-71.778926271,41.6486371030001,122,38,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,297,BETH,0, , , , , ,S,X, , ,y
-71.77795221,41.648515812,123,39,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,298,BETH,0, , , , , ,A,X,3 IND'S, ,y
-71.779271218,41.6483287350001,124,40,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,299,BETH,0, , , , , ,A,R, , ,y
-71.77948241,41.648746653,125,41,GL_06_04_P,"Tillinghast Pond Area, Hazard Rd.",TNC,300,BEVU,0, , , , , ,MF,RE,3 mature ind's, , 
-71.7354479799999,41.6371656200001,126,42,GL_06_04_02_P,Wickaboxet Management Area,DEM,301,ROMU,0, , , , , ,SAF,T, , , 
-71.756311021,41.5905514340001,127,43,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,268, ,0,Photos,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_05_21_268_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_05_21_268_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_05_21_268_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/JV_05_21_268_W.jpg, , , ,y, 
-71.7524145199999,41.593217974,128,44,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,274,BETH,0, , , , , ,A,RH,"Single, road intersection", , 
-71.75229726,41.593142035,129,45,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,275,ROMU,0, , , , , ,AM,RH,5 individuals, , 
-71.7519527589999,41.593113444,130,46,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,276,ELUM,0, , , , , ,M,RH,6 individuals on road side, , 
-71.751116587,41.5931588920001,131,47,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,0,EUAL13,0, , , , , ,SA,RH,<10 individuals, , 
-71.751132589,41.593172204,132,48,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,278,CEOR7,0, , , , , ,SA,RH,Small population, , 
-71.750673429,41.593057125,133,49,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,280,EUAL13,0, , , , , ,A,R,Single individual inside cemetary, , 
-71.7506104889999,41.592970375,134,50,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,281,BETH,0, , , , , ,S,R,"2 pulled, cemetary", , 
-71.7483207179999,41.5966557250001,135,51,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,283,ROMU,0, , , , , ,A,RX,Single near trail head, , 
-71.747007358,41.5975094250001,136,52,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,285,ELUM,0, , , , , ,A,RX,2 individuals on road side, , 
-71.746765119,41.5976419350001,137,53,JV_05_21_P,"Sand Hill/ Escoheag Trail, Arcadia",DEM,286,BETH,0, , , , , ,SA,RX,<10 individuals on road side and 10' into forest, , 
