X,Y,OBJECTID,STATION_NA,ADDRESS,LONGITUDE,LATITDE,CITY,STATE,Number_of_Stations,Number_of_Ports,PRICE_POLY,DATEACTIVE,GlobalID,last_edi_1,PortType,Location_o,SiteContac,ContactEma,Equipment_,ExistingPa,ExistingEl,Fee,ChargerTyp,Status,Ownership,UsableBy
-7932024.67548348,5210628.07665233,12,MassDOT I-95SB Newton Service Plaza,"I-95 South, Mile Marker 38.4",-71.25459,42.33058,Newton,MA,2,4,TBD,,{450ABC33-E033-483F-AA23-0B0882FEC455},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to Tesla Superchargers,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",96,We'll be seekign at least 800 amp,TBD,Fast Charging,Make Ready Application in progress,MassDOT,Public
-7932472.40247545,5227356.47003155,13,MassDOT I-95NB Lexington Service Plaza,"I-95 North, Mile Marker 46.3",-71.258612,42.441575,Lexington,MA,2,4,TBD,,{B43C2E1A-69C0-4763-82F3-2C7A8C29EBF3},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to Tesla Superchargers,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",98,We'll be seeking at least 800 amp,TBD,Fast Charging,Make Ready Application in progress,MassDOT,Public
-7906715.2986957,5154397.32088201,14,MassDOT Route 24 SB Bridgewater Service Plaza,"Route 24 South, Mile Marker 23.6",-71.027232,41.956044,Bridgewater,MA,2,4,TBD,,{2472DFA8-050D-4C7F-A428-DDBE09919A80},2009/07/21,CCS/SAE & CHAdeMO,Northwest corner of car lot.,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",82,We'll be seeking at least 800 amp,TBD,Fast Charging,Planned,MassDOT,Public
-7906559.11745012,5154435.04328813,15,MassDOT Route 24 NB Bridgewater Service Plaza,"Route 24 North, Mile Marker 23.6",-71.025829,41.956296,Bridgewater,MA,2,4,TBD,,{781CAA9A-2960-481D-B9E6-DFA58ECA7614},2009/07/21,CCS/SAE & CHAdeMO,Southeast corner of car lot.,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",91,We'll be seeking at least 800 amp,TBD,Fast Charging,Planned,MassDOT,Public
-7865483.78382027,5151399.91423284,16,MassDOT Route 3 Plymouth Service Plaza,"Route 3, Exit 5, Mile Marker 13.2",-70.656843,41.936017,Plymouth,MA,2,4,TBD,,{9685B932-B264-4604-BF2A-84FDCDF1CF57},2009/07/21,CCS/SAE & CHAdeMO,In McDonad's rear parking lot,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",70 w/ 210 P&R spaces,We'll be seeking at least 800 amp,TBD,Fast Charging,Make Ready Approved,MassDOT,Public
-7830213.09371835,5114244.93448875,17,MassDOT Route 6 Barnstable Service Plaza,"Route 6, Exit 6, Mile Marker 68.0",-70.340001,41.687246,Barnstable,MA,2,4,TBD,,{57740E4C-B2F0-4FB6-A5ED-7BA21F4427BC},2009/07/21,CCS/SAE & CHAdeMO,Northwest corner of BK's lot,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CPE250C-CCS1-CHD",90 Plaza/ 365 P&R spaces,We'll be seeking at least 800 amp,TBD,Fast Charging,Make Ready Approved,MassDOT,Public
-8157014.39075711,5205531.26342404,18,MassDOT I-90EB Lee Service Plaza,"I-90 East, Mile Marker 8.5",-73.275707,42.296723,Lee,MA,1,2,$0.30/Min,2017-08-22T04:00:00.000Z,{F3D3EBD1-2038-4D2E-BF05-10626C24DC26},2009/07/21,CSS/SAE & CHAdeMO,Adjacent to convenience store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",125,800 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
-8156812.45720081,5205784.85753547,19,MassDOT I-90WB Lee Service Plaza,"I-90 West, Mile Marker 8.5",-73.273893,42.298408,Lee,MA,1,2,$0.30/Min,2017-08-07T04:00:00.000Z,{9B61848C-C158-4D4B-8167-C4C2DBC3A0C0},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to convenience store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",58,800 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
-8084032.44203711,5249110.17767379,20,"MassDOT, Greenfield_RMV-Info Ctr - Route 2A ",18 Milner Street,-72.620099,42.58562,Greenfield,MA,1,2,TBD,,,2009/07/21,CCS/SAE & CHAdeMO,RMV parking Lot,,,Freewire,62,TBD,TBD,Fast Charging,Make Ready Approved,MassDOT,Public
-7800888.08893919,5116821.74530902,21,MassDOT-Harwich Park & Ride,Route 6 & Route 24 (Exit 10) Interchange,-70.07657,41.7045302,Harwich,MA,2,4,TBD,,,2009/07/21,SAE J1772,Park & Ride,,,"ChargePoint
CT4021-GW1
",75,TBD,TBD,Level 2,Make Ready Approved,MassDOT,Public
-7897667.78481758,5112936.01187304,22,MassDOT-New Bedford Park & Ride,Route 140 - Mount Pleasant Interchange,-70.9459568,41.6784645,New Bedford,MA,4,8,TBD,,,2009/07/21,SAE J1772,Park & Ride,,,"ChargePoint
CT4021-GW1
",201,TBD,TBD,Level 2,Make Ready Approved,MassDOT,Public
-7852732.39218473,5128298.32279233,23,MassDOT-Bourne - Sagamore Park & Ride,Route 6 and Route 3 Interchange,-70.5422953,41.781454,Bourne,MA,5,10,TBD,,,2009/07/21,SAE J1772,Park & Ride,,,"ChargePoint
CT4021-GW1
",377,TBD,TBD,Level 2,Make Ready Approved,MassDOT,Public
-8083455.9183943,5231640.27177138,24,MassDOT - Whately Park & Ride,457 State Road (Routes 10/5),-72.61492,42.469967,Whately,MA,2,4,TBD,,,2009/07/21,SAE J1772,Park & Ride,,,"ChargePoint
CT4021-GW1
",54,TBD,TBD,Level 2,Make Ready Application in progress,MassDOT,Public
-7865483.78382027,5151399.91423284,25,MassDOT Route 3 Plymouth Service Plaza,"Route 3, Exit 5, Mile Marker 13.2",-70.656843,41.936017,Plymouth,MA,4,8,TBD,,{9685B932-B264-4604-BF2A-84FDCDF1CF57},2009/07/21,SAE J1772,Park & Ride,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CT4021-GW1
",70 w/ 210 P&R spaces,We'll be seeking at least 800 amp,TBD,Level 2,Make Ready Approved,MassDOT,Public
-7830213.09371835,5114244.93448875,26,MassDOT Route 6 Barnstable Service Plaza,"Route 6, Exit 6, Mile Marker 68.0",-70.340001,41.687246,Barnstable,MA,5,10,TBD,,{57740E4C-B2F0-4FB6-A5ED-7BA21F4427BC},2009/07/21,SAE J1773,Park & Ride,Donald Pettey,donald.pettey@state.ma.us,"ChargePoint
CT4021-GW1
",90 Plaza/ 365 P&R spaces,We'll be seeking at least 800 amp,TBD,Level 2,Make Ready Approved,MassDOT,Public
-8084032.44203711,5249110.17767379,27,"MassDOT, Greenfield_RMV-Info Ctr - Route 2A ",18 Milner Street,-72.620099,42.58562,Greenfield,MA,2,4,TBD,,,2009/07/21,SAE J1772,Park & Ride,,,"ChargePoint
CT4021-GW1
",62,TBD,,,,,
-7989039.17908307,5203566.25193078,28,"MassDOT, Worcester, Dist 3 Office",395 Plantation Street,-71.76676,42.283665,Worcester,MA,4,4,Free,,,2009/07/21,SAE J1773,District Office Main Parking Area,Donald Pettey,donald.pettey@state.ma.us,ChargePoint ,,,Free,Level-II,Operational,,
